DATEPRD,WELL_BORE_CODE,BORE_GAS_VOL
19-Feb-09,NO 15/9-F-12 H,"628,409"
20-Feb-09,NO 15/9-F-12 H,"628,915"
21-Feb-09,NO 15/9-F-12 H,"553,168"
22-Feb-09,NO 15/9-F-12 H,"643,689"
23-Feb-09,NO 15/9-F-12 H,"636,959"
24-Feb-09,NO 15/9-F-12 H,"639,993"
25-Feb-09,NO 15/9-F-12 H,"576,611"
26-Feb-09,NO 15/9-F-12 H,"630,101"
27-Feb-09,NO 15/9-F-12 H,"623,045"
28-Feb-09,NO 15/9-F-12 H,"628,758"
01-Mar-09,NO 15/9-F-12 H,"635,770"
02-Mar-09,NO 15/9-F-12 H,"653,794"
03-Mar-09,NO 15/9-F-12 H,"658,570"
04-Mar-09,NO 15/9-F-12 H,"634,594"
05-Mar-09,NO 15/9-F-12 H,"347,738"
06-Mar-09,NO 15/9-F-12 H,"624,326"
07-Mar-09,NO 15/9-F-12 H,"481,719"
08-Mar-09,NO 15/9-F-12 H,"577,223"
09-Mar-09,NO 15/9-F-12 H,"607,750"
10-Mar-09,NO 15/9-F-12 H,"653,842"
11-Mar-09,NO 15/9-F-12 H,"755,860"
12-Mar-09,NO 15/9-F-12 H,"680,831"
13-Mar-09,NO 15/9-F-12 H,"529,095"
14-Mar-09,NO 15/9-F-12 H,0
15-Mar-09,NO 15/9-F-12 H,"84,480"
16-Mar-09,NO 15/9-F-12 H,"193,532"
17-Mar-09,NO 15/9-F-12 H,0
18-Mar-09,NO 15/9-F-12 H,"483,224"
19-Mar-09,NO 15/9-F-12 H,"604,989"
20-Mar-09,NO 15/9-F-12 H,"588,505"
21-Mar-09,NO 15/9-F-12 H,"620,587"
22-Mar-09,NO 15/9-F-12 H,"619,261"
23-Mar-09,NO 15/9-F-12 H,"605,817"
24-Mar-09,NO 15/9-F-12 H,"607,634"
25-Mar-09,NO 15/9-F-12 H,"103,202"
26-Mar-09,NO 15/9-F-12 H,0
27-Mar-09,NO 15/9-F-12 H,0
28-Mar-09,NO 15/9-F-12 H,0
29-Mar-09,NO 15/9-F-12 H,0
30-Mar-09,NO 15/9-F-12 H,"55,070"
31-Mar-09,NO 15/9-F-12 H,"716,135"
01-Apr-09,NO 15/9-F-12 H,"747,833"
02-Apr-09,NO 15/9-F-12 H,"719,978"
03-Apr-09,NO 15/9-F-12 H,"667,776"
04-Apr-09,NO 15/9-F-12 H,"635,782"
05-Apr-09,NO 15/9-F-12 H,"640,610"
06-Apr-09,NO 15/9-F-12 H,"807,878"
07-Apr-09,NO 15/9-F-12 H,"824,316"
08-Apr-09,NO 15/9-F-12 H,"712,609"
09-Apr-09,NO 15/9-F-12 H,"728,733"
10-Apr-09,NO 15/9-F-12 H,"795,764"
11-Apr-09,NO 15/9-F-12 H,"796,029"
12-Apr-09,NO 15/9-F-12 H,"745,573"
13-Apr-09,NO 15/9-F-12 H,"684,273"
14-Apr-09,NO 15/9-F-12 H,"682,920"
15-Apr-09,NO 15/9-F-12 H,"782,450"
16-Apr-09,NO 15/9-F-12 H,"703,143"
17-Apr-09,NO 15/9-F-12 H,"655,223"
18-Apr-09,NO 15/9-F-12 H,"727,182"
19-Apr-09,NO 15/9-F-12 H,"782,955"
20-Apr-09,NO 15/9-F-12 H,"663,644"
21-Apr-09,NO 15/9-F-12 H,"653,196"
22-Apr-09,NO 15/9-F-12 H,"554,652"
23-Apr-09,NO 15/9-F-12 H,"642,694"
24-Apr-09,NO 15/9-F-12 H,"645,291"
25-Apr-09,NO 15/9-F-12 H,"649,841"
26-Apr-09,NO 15/9-F-12 H,"652,521"
27-Apr-09,NO 15/9-F-12 H,"656,677"
28-Apr-09,NO 15/9-F-12 H,"658,770"
29-Apr-09,NO 15/9-F-12 H,"654,544"
30-Apr-09,NO 15/9-F-12 H,"658,250"
01-May-09,NO 15/9-F-12 H,"655,718"
02-May-09,NO 15/9-F-12 H,"651,353"
03-May-09,NO 15/9-F-12 H,"651,464"
04-May-09,NO 15/9-F-12 H,"54,731"
06-May-09,NO 15/9-F-12 H,"481,765"
07-May-09,NO 15/9-F-12 H,"633,204"
08-May-09,NO 15/9-F-12 H,"648,869"
09-May-09,NO 15/9-F-12 H,"659,614"
10-May-09,NO 15/9-F-12 H,"663,300"
11-May-09,NO 15/9-F-12 H,"652,509"
12-May-09,NO 15/9-F-12 H,"649,889"
13-May-09,NO 15/9-F-12 H,"640,887"
14-May-09,NO 15/9-F-12 H,"645,463"
15-May-09,NO 15/9-F-12 H,"650,507"
16-May-09,NO 15/9-F-12 H,"653,197"
17-May-09,NO 15/9-F-12 H,"654,569"
18-May-09,NO 15/9-F-12 H,"722,111"
19-May-09,NO 15/9-F-12 H,"693,436"
20-May-09,NO 15/9-F-12 H,"692,348"
21-May-09,NO 15/9-F-12 H,"693,070"
22-May-09,NO 15/9-F-12 H,"691,705"
23-May-09,NO 15/9-F-12 H,"658,095"
24-May-09,NO 15/9-F-12 H,"653,572"
25-May-09,NO 15/9-F-12 H,"666,996"
26-May-09,NO 15/9-F-12 H,"674,399"
27-May-09,NO 15/9-F-12 H,"676,600"
28-May-09,NO 15/9-F-12 H,"679,290"
29-May-09,NO 15/9-F-12 H,"728,393"
30-May-09,NO 15/9-F-12 H,"745,583"
31-May-09,NO 15/9-F-12 H,"744,218"
01-Jun-09,NO 15/9-F-12 H,"755,886"
02-Jun-09,NO 15/9-F-12 H,"758,528"
03-Jun-09,NO 15/9-F-12 H,"804,359"
04-Jun-09,NO 15/9-F-12 H,"750,905"
05-Jun-09,NO 15/9-F-12 H,"754,131"
06-Jun-09,NO 15/9-F-12 H,"530,741"
07-Jun-09,NO 15/9-F-12 H,"703,839"
08-Jun-09,NO 15/9-F-12 H,"727,883"
09-Jun-09,NO 15/9-F-12 H,"726,693"
10-Jun-09,NO 15/9-F-12 H,"721,518"
11-Jun-09,NO 15/9-F-12 H,"553,284"
12-Jun-09,NO 15/9-F-12 H,"653,040"
13-Jun-09,NO 15/9-F-12 H,"546,460"
14-Jun-09,NO 15/9-F-12 H,"616,524"
15-Jun-09,NO 15/9-F-12 H,"670,506"
16-Jun-09,NO 15/9-F-12 H,"696,077"
17-Jun-09,NO 15/9-F-12 H,"663,614"
18-Jun-09,NO 15/9-F-12 H,"670,508"
19-Jun-09,NO 15/9-F-12 H,"676,839"
20-Jun-09,NO 15/9-F-12 H,"684,149"
21-Jun-09,NO 15/9-F-12 H,"457,373"
22-Jun-09,NO 15/9-F-12 H,"448,830"
23-Jun-09,NO 15/9-F-12 H,"455,038"
24-Jun-09,NO 15/9-F-12 H,"455,482"
25-Jun-09,NO 15/9-F-12 H,"432,800"
26-Jun-09,NO 15/9-F-12 H,"387,729"
27-Jun-09,NO 15/9-F-12 H,"368,588"
28-Jun-09,NO 15/9-F-12 H,"367,739"
29-Jun-09,NO 15/9-F-12 H,"374,705"
30-Jun-09,NO 15/9-F-12 H,"373,706"
01-Jul-09,NO 15/9-F-12 H,"372,698"
02-Jul-09,NO 15/9-F-12 H,"371,158"
03-Jul-09,NO 15/9-F-12 H,"370,129"
04-Jul-09,NO 15/9-F-12 H,"367,253"
05-Jul-09,NO 15/9-F-12 H,"368,058"
06-Jul-09,NO 15/9-F-12 H,"463,342"
07-Jul-09,NO 15/9-F-12 H,"460,569"
08-Jul-09,NO 15/9-F-12 H,"489,972"
09-Jul-09,NO 15/9-F-12 H,"490,054"
10-Jul-09,NO 15/9-F-12 H,"487,960"
11-Jul-09,NO 15/9-F-12 H,"491,136"
12-Jul-09,NO 15/9-F-12 H,"493,410"
13-Jul-09,NO 15/9-F-12 H,"495,857"
14-Jul-09,NO 15/9-F-12 H,"489,459"
15-Jul-09,NO 15/9-F-12 H,"480,363"
